Grid_ID,Meta_Var,N_Samples,Original_Cor,Robust_Cor,P_Value,Improvement,PC1_Var_Gain
G11,age_num,34901,0.0946,0.0952,4.4915899266603776e-71,YES,29.88
G11,BMI,24864,0.12,0.1194,1.1752877411069199e-79,NO,29.88
G11,Glucose,393,0.0436,0.0289,0.5679247275281948,NO,29.88
G12,age_num,34901,0.0611,0.0426,1.703496288175531e-15,NO,16.38
G12,BMI,24864,0.0349,0.0471,1.1146480241552061e-13,YES,16.38
G12,Glucose,393,0.04,0.0454,0.36949455114035845,YES,16.38
G13,age_num,34901,0.2449,0.235,0.0,NO,23.01
G13,BMI,24864,0.1087,0.0834,1.1954246908694087e-39,NO,23.01
G13,Glucose,393,0.0365,0.0349,0.4901850089755272,NO,23.01
G14,age_num,34901,0.136,0.1354,2.3170570468195227e-142,NO,13.47
G14,BMI,24864,0.0763,0.0705,8.868543951580728e-29,NO,13.47
G14,Glucose,393,0.1034,0.0963,0.056546423383130685,NO,13.47
G21,age_num,34901,0.0857,0.2055,0.0,YES,11.81
G21,BMI,24864,0.058,0.0707,6.37483630352631e-29,YES,11.81
G21,Glucose,393,0.0685,0.0083,0.8701364744087411,NO,11.81
G22,age_num,34901,0.1589,0.1668,3.7199395135253824e-216,YES,7.91
G22,BMI,24864,0.026,0.0392,6.464007395179951e-10,YES,7.91
G22,Glucose,393,0.0108,0.011,0.8271907684757643,YES,7.91
G23,age_num,34901,0.0805,0.107,2.1327561730370833e-89,YES,19.43
G23,BMI,24864,0.0308,0.0415,5.929500219437755e-11,YES,19.43
G23,Glucose,393,0.0275,0.047,0.3523335299974877,YES,19.43
G24,age_num,34901,0.2247,0.1972,4.6466303338244126e-303,NO,7.21
G24,BMI,24864,0.0158,0.0476,6.161500219702032e-14,YES,7.21
G24,Glucose,393,0.2309,0.1865,0.00020035071131658974,NO,7.21
G31,age_num,34901,0.1677,0.1657,3.046427466750863e-213,NO,36.9
G31,BMI,24864,0.0186,0.0174,0.0061620085328120576,NO,36.9
G31,Glucose,393,0.1069,0.1026,0.042049271541773965,NO,36.9
G32,age_num,34901,0.1849,0.1875,1.2592404102287334e-273,YES,21.89
G32,BMI,24864,0.0066,0.0007,0.9128332466386104,NO,21.89
G32,Glucose,393,0.0224,0.0408,0.41996739098587044,YES,21.89
G33,age_num,34901,0.2051,0.1941,2.5843470324222896e-293,NO,28.57
G33,BMI,24864,0.0906,0.109,1.29868152511434e-66,YES,28.57
G33,Glucose,393,0.0095,0.0091,0.8575445481839953,NO,28.57
G34,age_num,34901,0.3061,0.2874,0.0,NO,19.91
G34,BMI,24864,0.0574,0.0331,1.83588450530192e-07,NO,19.91
G34,Glucose,393,0.0632,0.0022,0.9653744351091375,NO,19.91
G41,age_num,34901,0.1864,0.2449,0.0,YES,43.67
G41,BMI,24864,0.0292,0.0246,0.00010505651164729593,NO,43.67
G41,Glucose,393,0.0659,0.0532,0.2930640383691884,NO,43.67
G42,age_num,34901,0.0923,0.1106,1.821273184290586e-95,YES,41.88
G42,BMI,24864,0.0152,0.0164,0.009739760384804027,YES,41.88
G42,Glucose,393,0.0147,0.0315,0.5329430843484018,YES,41.88
G43,age_num,34901,0.1897,0.1788,1.0338164871463355e-248,NO,27.1
G43,BMI,24864,0.0425,0.0445,2.1970333595491995e-12,YES,27.1
G43,Glucose,393,0.0123,0.0219,0.66477361030101,YES,27.1
G44,age_num,34901,0.0946,0.0946,3.329953682912345e-70,NO,12.52
G44,BMI,24864,0.0916,0.0923,3.145784188274855e-48,YES,12.52
G44,Glucose,393,0.1985,0.1981,7.66956178200115e-05,NO,12.52
